title,registration_number,objective
Cohesion policy for the equality of the regions and sustainability of the regional cultures,2019/000007,"The cohesion policy of the EU should pay special attention to regions with national, ethnic, cultural, religious or linguistic characteristics that are different from those of the surrounding regions.
               
               For such regions, including geographic areas with no administrative competencies, the prevention of economical backlog, the sustainment of development and the preservation of the conditions for economic, social and territorial cohesion should be done in a way that ensures their characteristics remain unchanged. For this, such regions must have equal opportunity to access various EU-funds and the preservation of their characteristics and their proper economical development must be guaranteed, so that the EU’s development can be sustained and its cultural diversity maintained."
PRO-NUTRISCORE,2019/000008,"We are asking the European Commission to impose simplified ‘Nutriscore’ labelling on food products, to guarantee that consumers are provided with quality nutritional information and to protect their health.
               
               1. Make nutritional labelling easier to read and understand, so that the nutritional value of a food can be understood at a glance in the face of the diversity of food supply;
               



                2. Take action on public health issues by encouraging professionals to improve the composition of their products;
                


                3. Harmonise nutritional information at European level by imposing a single official labelling system, thereby putting an end to the confusion experienced by European consumers when faced by the plethora of existing logos."
Ending the aviation fuel tax exemption in Europe,2019/000009,"We call the European Commission to propose to member states the introduction of a tax on aviation fuel (kerosene). The aviation sector enjoys tax advantages despite being one of the fastest growing sources of greenhouse gas emissions.
               
               While greener alternatives to aviation are subject to high taxes, the aviation industry benefits from many unjust tax exemptions. Aviation fuel remains untaxed in Europe and Member States don’t impose VAT on plane tickets, making aviation a more and more attractive transport mode whereas it is the most carbon-intensive. Taxing kerosene would allow the EU to drastically increase its funding for greener mobility as transport is the fastest growing greenhouse gas emissions sector."
Save the bees! Protection of biodiversity and improvement of habitats for insects in Europe,2019/000010,"We need insects for our ecosystems and to ensure food security.
               



                The Commission must adopt legislation to maintain and improve habitats for insects as indicators of an undamaged environment.
                
                To demonstrably improve the natural basis for life we call for mandatory targets:
                


                - to make the promotion of biodiversity an overall objective of the CAP;
                


                - to dramatically cut the use of pesticides, ban harmful pesticides without exception and reform eligibility criteria;
                


                - to promote structural diversity in agricultural landscapes;
                


                - to effectively reduce nutrients (e.g. Natura 2000);
                


                - to effectively establish conservation areas (e.g. WFD);
                


                - to intensify research and monitoring and improve education."
A price for carbon to fight climate change,2019/000011,"We ask the European Commission to propose a EU legislation to discourage the consumption of fossil fuels, encourage energy saving and the use of renewable sources for fighting global warming and limiting temperature increase to 1,5°C.
               
               Our proposal introduces a minimum price on C02 emissions, starting from 50€ per CO2 tonne from 2020 up to 100€ by 2025. At the same time, the proposal shall abolish the existing system of free allowances to EU polluters and introduce a border adjustment mechanism on non-EU imports, in such a way as to compensate for the lower pricing on CO2 emissions in the exporting country. The higher revenue deriving from carbon pricing shall be allocated to European policies that support energy saving and the use of renewable sources, and to the reduction of taxation on lower incomes."
Grow scientific progress: crops matter!,2019/000012,"Directive 2001/18/EC is outdated. We as students of Life Sciences consider it important to revise the current exemption mechanism stipulated in the Directive, with regards to new plant breeding techniques (NPBTs).
               
               Specifically we demand for more legal clarity and further definitions. Our objective is to facilitate the authorization procedure for those products obtained through NPBTs, which carry only natural existing traits. The aim is to improve scientific progress in the European Union while protecting human and animal health and the environment."
Mettons fin à l'ère du plastique en Europe (Let’s put an end to the era of plastic in Europe),2019/000013,"NOTICE:
               
               Translated using eTranslation (the European Commission’s machine translation service) to provide content in all languages, even if machine translation may not always be 100% accurate.
               

               We call on the European Commission to revise the Directive on the impact of certain plastics on the environment with the aim of banning all single-use plastics in Europe
               
               On 10 May, the European Union already exceeded the limit of the resources that the planet can provide to it. However, and despite the scientific reports stressing the urgent need to act, Europe is not implementing any profound change in its model. Plastic is symptomatic of this stubborn refusal to face the facts, which is at odds with the needs of the environment. We are therefore calling for the banning of all plastic packaging and bottles by 2027 so that concrete measures can begin to be put in place to respect the limits of our resources."
"Stop corruption in Europe at its root, by cutting off funds to countries with inefficient judiciary after deadline.",2019/000014,"Mandate a firm 10 year post accession deadline for an automatic moratorium on payments of structural and cohesion funds to a newly acceded country, until the monitoring mechanism is lifted from their judiciary.
               
               The current EU legal code allows undue interpretation. Under certain conditions, the corruption among political elites in newly acceded countries may turn out to be beneficial to other countries in the Union, and the relative notion ‘temporary’ to be stretched out indefinitely. Setting a strict timeframe avoids direct and indirect motivation for corruption in EU member states. One such example is the inefficiency of the existing monitoring mechanism in the case of Bulgaria and Romania."
Actions on Climate Emergency,2019/000015,"We call on the European Commission to strengthen action on the climate emergency in line with the 1.5° warming limit. This means more ambitious climate goals and financial support for climate action.
               
               The EU shall adjust its goals (NDC) under the Paris Agreement to an 80% reduction of greenhouse gas emissions by 2030, to reach net-0 by 2035 and adjust European climate legislation accordingly. An EU Border Carbon Adjustment shall be implemented. No free trade treaty shall be signed with partner countries that do not follow a 1.5° compatible pathway according to Climate Action Tracker. The EU shall create free educational materials’ for all member curricula about the effects of climate change."
Save bees and farmers ! Towards a bee-friendly agriculture for a healthy environment,2019/000016,"To protect bees and people’s health, we call on the Commission to propose legal acts to phase out synthetic pesticides by 2035, to restore biodiversity, and to support farmers in the transition.
               
               Phase out synthetic pesticides in EU agriculture by 80% by 2030, starting with the most hazardous, to become free of synthetic by 2035; restore natural ecosystems in agricultural areas so that farming becomes a vector of biodiversity recovery; reform agriculture by prioritising small scale, diverse and sustainable farming, supporting a rapid increase in agro-ecological and organic practice, and enabling independent farmer-based training and research into pesticide- and GMO-free farming."
Stop Finning – Stop the trade,2020/000001,"Although the removal of fins on board of EU vessels and in EU waters is prohibited and sharks must be landed with their fins naturally attached, the EU is among the biggest exporters of fins and a major transit hub for the global fin trade.
               
               EU is a major player in the exploitation of sharks and as inspections at sea are scarce fins are still illegally retained, transshipped, or landed in EU.
               



                We aim to end the trade of fins in the EU including the import, export and transit of fins other than if naturally attached to the animal’s body.
                


                As finning prevents effective shark conservation measures, we request to extend REGULATION (EU) No 605/2013 also to the trade of fins and therefore ask the commission to develop a new regulation, extending “fins naturally attached” to all trading of sharks and rays in the EU."
"VOTERS WITHOUT BORDERS, Full Political Rights for EU Citizens",2020/000002,"Subject-matter.
               



                We demand reforms to strengthen the existing rights of EU citizens to vote and stand in European and municipal elections in their country of residence and new legislation to extend them to regional, national elections and referenda.
                


                Main objectives.
                


                •   Remove barriers to registration of EU citizens to vote and stand in European and local elections either in their country of residence or origin.
               

                •   Reaffirm Universal Suffrage as a fundamental right and value. EU citizens should have the right to choose whether to vote in their country of residence or origin for all elections and referenda.
               

                •   Research the impact of such genuine Europeanization of voting rights, the necessary safeguards, and how they could include third-country nationals.
                


                These reforms remove a stain on European democracy and create a space for transnational politics."
Start Unconditional Basic Incomes (UBI) throughout the EU,2020/000003,"Subject Matter:
               


                Our aim is to establish the introduction of unconditional basic incomes throughout the EU which ensure every person’s material existence and opportunity to participate in society as part of its economic policy. This aim shall be reached while remaining within the competences conferred to the EU by the Treaties.
               

                Objectives:
               

                We request the EU Commission to make a proposal for unconditional basic incomes throughout the EU, which reduce regional disparities in order to strengthen the economic, social and territorial cohesion in the EU.
               

                This shall realize the aim of the joint statement by the European Council, the European Parliament and the European Commission, stated in 2017, that “the EU and its member states will also support efficient, sustainable and equitable social protection systems to guarantee basic income” in order to combat inequality."
Freedom to share,2020/000004,"To legalise sharing – via digital networks, for personal use and non-profit purposes – of files containing works and other material protected by copyright, related rights and sui generis database rights, with a view to striking a balance between the rights of authors and other rightholders and the universal right to science and culture."
Right to Cure,2020/000005,"Having regard to the Treaty on the Functioning of the European Union and in particular articles 114, 118 and 168 thereof, we ask the European Commission to propose all legislation to
               
               - ensure that intellectual property rights, including patents, do not hamper the accessibility or availability of any future Covid-19 vaccine or treatment;
               
               - ensure that EU-legislation on data and market exclusivity does not limit the immediate effectiveness of compulsory licenses issued by Member States;
               
               - introduce legal obligations for beneficiaries from EU-funds to share COVID-19 health technology related knowledge, intellectual property and/or data in a technology or patent pool;
               
               - introduce legal obligations for beneficiaries from EU-funds regarding transparency on public contributions, production costs, as well as accessibility and affordability clauses combined with non-exclusive licenses."
Civil society initiative for a ban on biometric mass surveillance practices,2021/000001,"We call on the European Commission to strictly regulate the use of biometric technologies in order to avoid undue interference with fundamental rights.
               
               In particular, we ask the Commission to prohibit, in law and in practice, indiscriminate or arbitrarily-targeted uses of biometrics which can lead to unlawful mass surveillance. These intrusive systems must not be developed, deployed (even on a trial basis) or used by public or private entities insofar as they can lead to unnecessary or disproportionate interference with people’s fundamental rights.
               
               Evidence shows that uses of biometric mass surveillance in Member States and by EU agencies have resulted in violations of EU data protection law, and unduly restricted people‘s rights including their privacy, right to free speech, right to protest and not to be discriminated against. The widespread use of biometric surveillance, profiling and prediction is a threat to the rule of law and our most basic freedoms.
               
               In this ECI, we therefore urge the "
Civil Servant Exchange Program (CSEP),2021/000002,"As European students and future civil servants, we believe that exchanges should not stop once studies come to an end.
               




                We therefore propose the creation of a Civil Servant Exchange Program (CSEP), an exchange and training programme between civil servants of the Member States of the European Union. The aim of this ‘Erasmus for the civil service’ would be to offer civil servants from EU Member States professional experience in a similar service in another Member State for a period of 2 to 12 months. During the exchange, civil servants could continue to receive the salary of their home country, subject to compensation from the EU if this salary is lower than that received in the host country for an equivalent position.
               

                The CSEP would strengthen the freedom of movement of workers in the EU, foster an exchange of best practices between civil services and improve links between Member States. In addition, the CSEP would help civil servants to overcome the numerous challenges they encounter in their working relations with t"
Green Garden Roof Tops,2021/000003,"In Europe there are many existing stores with an empty rooftop; in most of the cases these rooftops are not being used for any specific purpose. In addition, these rooftops are full of plastic and stones, materials of which the roof is made of. Therefore, these areas are in itself not contributing to the benefits of the environment, rather they are simply increasing the environmental damages. The reason of focusing on the environmental benefits, is stemming from our current time environmental crisis. We need to rethink and find ways to increase the awareness of environmental problems and how to bring our society, the economy and the protection of our planet in a healthy balance. Therefore, the core of the plan is to utilize the existing spaces found on rooftops.  The idea is to create on different corporations’ rooftops a green garden area. In this way the unutilized roofs, could be transformed in means able of improving and aiding the environmental crisis."
Ban Fossil Fuel Advertising and Sponsorships,2021/000004,"We call on the European Commission to propose an EU legislative act: prohibiting advertisements for fossil fuels, as well as air, road and water-borne transportation (other than transport services of general economic interest) powered by fossil fuels; prohibiting advertisements  from any undertakings active in the market for fossil fuels, in particular by extracting, refining, supplying, distributing or selling fossil fuels; prohibiting sponsorships by undertakings defined under point 2 above, or using trademarks or commercial names used for fossil fuels. This law would fall into the EU competence, in that it would consist in an internal market regulation aimed at enhancing consumer protection, as well as a high level of public health and environmental protection. Indeed, this legislation would increase public awareness of products and technologies that are responsible for climate change and other environmental and health harms. As such, it would pursue objectives that are envisaged by the EU environmental and consumer protection policies, via the harmonisation of rules on fossil fue"
European EcoScore,2021/000005,"We are a citizens’ movement driven by young people from all over Europe who want to take concrete action for our environment!
               
               In view of the ambitions of the Green Deal for Europe and the Paris Agreement, we call on the European Commission to impose a reliable ""European EcoScore"". It consists of a label providing European consumers with transparent information about the environmental impact of products manufactured or sold on the European Union market.
               
               This compulsory and clearly visible indication on the packaging would provide simple and reliable information on the environmental impact of the product according to the letter selected (“A” = very environmentally friendly, while ""F"" = very harmful to the environment).
               

               Objectives:
               
               • To enable European consumers to make informed choices that take into account the environmental impact of the products on offer, based on a clear and reliable indication.
               
               • To encourage professionals to r"
SAVE CRUELTY FREE COSMETICS - COMMIT TO A EUROPE WITHOUT ANIMAL TESTING,2021/000006,"With the EU ban on cosmetics tests on animals came the promise of a Europe in which animals no longer suffer and die for the sake of cosmetics. That promise has been broken. Authorities still demand animal tests on ingredients used in cosmetics, which goes against the expectations and wishes of the public and the intention of legislators.
               




                Yet, never have we had such powerful non-animal tools for assuring safety or such a golden opportunity to revolutionise human and environmental protection. The European Commission must uphold and strengthen the ban and transition to animal-free safety assessment.
               



                We call on the European Commission to do the following:
               



                1. Protect and strengthen the cosmetics animal testing ban.
               

                Initiate legislative change to achieve consumer, worker, and environmental protection for all cosmetics ingredients without testing on animals for any purpose at any time.
               



                2. Transform EU chemicals regulat"
ReturnthePlastics: A Citizen’s Initiative to implement an EU-wide deposit-system to recycle plastic bottles,2021/000007,"With the #ReturnthePlastics European Citizen's Initiative, we request the European Commission: 1. To implement an EU-wide deposit-system to recycle plastic bottles 2. To incentivize all EU Member states that supermarkets (chains) which are selling plastic bottles to install reverse vending machines for recycling the plastic bottles after being purchased and used by the consumer 3. To make the plastic bottle producing companies pay plastic taxes for the recycling and deposit-system of the plastic bottles (under the principle that the polluter should pay)"
Ensuring Common Commercial Policy conformity with EU Treaties and compliance with international law,2021/000008,"We seek to regulate commercial transactions with Occupant’s entities based or operating in occupied territories by withholding products originating from there from entering the EU market. The Commission, as Guardian of the Treaties, has to ensure consistency of Union’s policy and compliance with fundamental rights and international law in all areas of EU law, including CCP. It must propose legal acts based on the Common Commercial Policy to prevent EU legal entities from both importing products originating in illegal settlements in occupied territories and exporting to such territories, in order to preserve the integrity of the internal market and to not aid or assist the maintenance of such unlawful situations. The initiative thus invites the Commission to submit a proposal for a legal act under the Common Commercial Policy which is general in nature and does not target a specific country or territory."
Stop (((5G))) - Stay Connected but Protected,2021/000009,"5G deployment is putting our rights to a healthy environment, freedom and privacy at stake.
               
               We call on the Commission to propose legislation to protect citizens and the environment from these threats:
               

               1. Humans, fauna and flora are being harmed by radiation. Current exposure limits provide insufficient protection — especially for vulnerable people (like children, pregnant women, patients, the elderly), animals, pollinating insects and plants
               
               — Enact regulation to protect all life from radio frequency and microwave radiation *
               

               2. With 5G the amount of connected electronic devices, antennas and satellites will explode. Unsustainable energy consumption, radiation emissions, harmful mining and pollution will  follow, which will endanger biodiversity and natural habitats
               
               — Enact stronger regulation to protect the environment from all the impacts of 5G and digitalization*
               

               3. 5G enables massive data colle"
Call to Action – Environmental protection in all policies,2021/000010,"The Commission has to safeguard and improve Europeans' quality of life, whilst protecting other species and the natural environment as a whole. Thereby, the Commission must propose a legal act- recommendation that leads to a better understanding and compliance with environmental protection measures in  EU Member States.
               

               The objective of the initiative is for the Commission to propose a legal act that would assure Europeans that their national authorities are taking into account environmental considerations when introducing new or amending existing policies."
Green VAT - An EU Green VAT to stimulate sustainable and eco-friendly products and services,2021/000011,Reducing the VAT rate for green products and services
Win It On The Pitch,2022/000001,"PROTECT CLUBS, COMMUNITIES, AND COMPETITIONS
               
               Council recommendation on protecting the model of sport in Europe based on values, solidarity, sustainability, and open competitions
               

               The European model of sport is based on popular principles such as sporting merit, promotion and relegation, qualification to Europe via domestic success, and financial solidarity. This model and its principles must be further protected at the EU-level to prevent any more super league style breakaway attempts and protect our clubs, communities and competitions from hostile and reckless corporate and financial prospecting into European sport by private organisations and sovereign wealth funds.
               

               Sport is an integral part of the fabric of European society and culture that must be protected and promoted for the benefit of all.
               

               We are calling on the Council to adopt a Recommendation providing an EU framework and guidelines for member state action to:
               

               • Protec"
Fur Free Europe,2022/000002,"Fur farming is inherently cruel and it is widely rejected by EU citizens.
               

               It is impossible to improve the welfare of animals on fur farms. Whilst no animals should live in a caged environment, the keeping of inherently wild species in cages can only be defined as abject cruelty.
               

               The keeping and killing of animals solely for the purpose of fur production is ethically unacceptable.
               

               Numerous outbreaks of SARS-CoV-2 on mink farms have evidenced the veterinary-public health risks associated with the production of fur.
               

               The existence of production bans in some Member States has a distorting impact on the market for the supply of farmed fur products. This favours traders in those Member States where there is no production ban, to the detriment of those EU countries where outright bans are already in place.
               

               The placing of fur products on the internal markets of several territories and jurisdictions has already been prohibited. This inc"
End The Slaughter Age,2022/000003,"1 - Exclude livestock farming from list of activities eligible for agricultural subsidies and include ethical and environmentally friendly alternatives, such as cellular agriculture and plant proteins.
               

               2 - Incentives for the production and sale of plant-based products and those made using cellular agriculture."
"Good Clothes, Fair Pay",2022/000004,"We call on the European Commission to propose legislation requiring undertakings active in the garment and footwear sector to conduct due diligence in respect of living wages in their supply chains.
               
               The legislation shall achieve the following objectives:
               
               . complement and build on the EU’s Sustainable Corporate Governance framework, and the EU Adequate Minimum Wage Directive;
               
               . require undertakings to identify, prevent and mitigate adverse impacts on the human right to a living wage and freedom of association and collective bargaining rights;
               
               . reduce poverty in the EU and worldwide, paying particular attention to the circumstances of women, migrants and workers with precarious contracts and the need to combat child labour;
               
               . prohibit unfair trading practices which cause, or contribute to, actual and potential harms to workers in the garment and footwear sector and promote fair purchasing practices;
               
               . "
CALL TO ACHIEVE A TOBACCO-FREE ENVIRONMENT AND THE FIRST EUROPEAN TOBACCO-FREE GENERATION BY 2030,2022/000005,"Tobacco pandemic is the first avoidable cause of death. Butts on beaches cause environmental damage to the ocean and its wildlife, in forests cause fires and contaminate soil and water. To save the new generations from falling into tobacco addiction, in addition to acting forcefully against the environmental dangers caused by cigarette butts and fighting against smoking, it is necessary to:
               

                1. Promote the first tobacco-free European generation by 2028, ending the sale of tobacco and nicotine products to citizens born since 2010.
               

                2. Create an European Net of tobacco-free and butts-free beaches and riverbanks, making this spaces more healthy and environmentally sustainable.
               

                3. Establish an European Net of tobacco-free and butts-free National Parks making them more healthy and reducing contamination and risk of fires.
               

                4. Extend outdoor smoke and vapor free spaces, especially those frequented by minors (parks, swimming pools, sports events and centers, shows"
Every European house equipped with 1 kw photovoltaic and 0.6 kw wind turbines using EU funding through the municipalities alone.,2022/000006,"1 To reduce the CO2 footprint of each household.
               
               2 Accountability of the municipalities, distributors and suppliers of energy, limiting migration between suppliers in the green zone with professional training for at least one municipality employee in environmental matters, using only EU equipment.
               
               3 Development of green energy sources in the most isolated villages and at the end of networks which would otherwise require consolidation investments funded by distributors, energy suppliers or territorial administrative units.
               
               4 To change the public perception that green energy is expensive and to educate the public to consume at least 1 kw of solar energy during the day in order to reduce bills. We say stop to the energy war, we prepare local turbine pump systems of up to 400kw, drip irrigation systems and hydrogen generators for compact energy zones.
               
               A major step for competitiveness in the EU."
"Protect the EU’s Rural Heritage, Food Security and Supply",2022/000007,"PROTECT AND PROMOTE THE EU’S RURAL AREAS AND FOOD SECURITY.
               




                Europe’s rural regions are losing their heritage, industries, populations, and values – threatening food security and supply across the EU. To preserve what makes these regions unique for future generations and ensure the longevity of the EU’s food-producing communities, we need a renewed EU commitment to the promotion of regional heritage, rural sustainable growth and rising living standards.
               



                This European Citizens Initiative asks the EU to modernise its rural commitments to take into consideration the need for greater food security, supply of agricultural materials and protection for the rural way of life – its people, their values and livelihoods."
Focus on Specific Learning Disabilities on EU Level,2022/000008,"This Initiative aims to facilitate the access to education of people with specific learning disabilities (i.e. dyslexia, dyscalculia, dysgraphia). Students with such disabilities face struggles in pursuing their education due to lack of knowledge about the topic, absence of adequate study materials, and unfair exam conditions.
               
               Although the Member States have addressed the issue individually, the discrepancies in  the definitions of learning disabilities, the distinct methods of detection and assistance opens a gap between the countries. Hence, students may be treated differently in other Member States which could hinder their right of free movement as granted by the Treaties, resulting in repercussions on their education and integration into society.
               
               Hereby, we request the Commission to present a proposal for a Council recommendation pursuant to Article 165(4), second indent, TFEU with common guidelines to the national governments on how to detect and address learning disabilities. A better integration of people with learn"
European Citizens’ Initiative for VEGAN MEAL,2022/000009,"The European Citizens’ Initiative for VEGAN MEAL asks to explicitly make the vegan alternative always present in the private and public places selling food and drinks in Europe.
               

                The EU Citizens’ Initiative for VEGAN MEAL for those who are vegan and for those who respect the right to the vegan alternative and also to take action for climate change offering more easily plant-based food to the EU consumers in their daily life. Cruelty-free vegan diet does not imply the exploitation and killing of animals, responding to the emerging collective awareness of animal rights. Furthermore, the vegan diet changes the territory in the choice of production and employment activities, structures, and logistics with less pollution. The European Citizens' Initiative for VEGAN MEAL asks for the introduction of the vegan alternative in the sale of food and beverages to the public in Europe by law with the hope that the participation of European citizens leads to the approval of an EU law with great benefits for the planet, i.e. in mitigation of the climate crisis, extin"
"European Day of ""Whatever it Takes""",2022/000010,"Plea for the institutionalization of a European Day of Whatever it Takes
               

               An appeal to the EU Commission for the institutionalization of the European Day of “Whatever it Takes”- 26.07.2012 to mark in history the institutional wisdom and game-changing capacity of the European Institutions during the Great Recession. An inspiring chapter of EU’s functional resiliency and core capabilities for institutions, nations and societies to drive progress while sailing times of multiple-crisis management."
Article 4: Stop torture and inhuman treatment at Europe’s borders,2023/000001,"In the context of the EU’s powers in the area of justice, freedom and security – as set out in Article 78 TFEU on policies relating to border checks, asylum and immigration – we call for appropriate regulations to ensure that Article 4 of the EU Charter of Fundamental Rights is applied effectively and that the use of violence, torture and inhuman and degrading treatment is banned at EU borders and in non-EU countries which the European institutions or one or more Member States have concluded agreements with restricting the entry of migrants or asylum seekers into Europe, as well in the Member States themselves in managing reception, with penalties imposed for non-compliance with the obligations laid down."
Ensuring a dignified reception of migrants in Europe,2023/000002,"The treatment of migrants in the European Union (EU) too often fails to respect the principles of human dignity, a fundamental value of the Union.
               

                The main reason, in our view, is the persistent inadequacy of European rules and the lack of solidarity between Member States.
               

                As the Union is ""an area of freedom, security and justice with respect for fundamental rights"",
                
                 we, European citizens, ask the EU
                 
                  to ensure a dignified reception of migrants, as soon as they enter the territory
                 

                , compatible with the fundamental rights recognized to every human being by the EU Charter of Fundamental Rights and international law.
               

                In order to contribute to this, we call, in the framework of the development of a common asylum policy, for the adoption of regulations to:
               

                1- Introduce a new mechanism for the distribution of asylum seekers in the EU, based on their free wil"
End The Horse Slaughter Age,2023/000003,"The
                
                 European Citizens’ Initiative End The Horse Slaughter Age
                
                asks for a law to ban the slaughter of horses, including in the ban also their breeding and their export for the production of fur, leather, meat or for the manufacture of medicines or other substances.
               

                The
                
                 European Citizens’ Initiative End The Horse Slaughter Age
                
                asks also for a law to stop long-distance transportation of horses across Europe for slaughter and a regulation to protect horse from being compelled to do excess work or hard training."
Connecting all European capitals and people through a high-speed train network,2023/000004,We want to connect all European capitals through high-speed railway lines. We are calling for the European Commission to make a proposal for a legally binding act to establish a European high-speed train network as quickly as possible. This means linking up the existing high-speed railway networks and building high-speed lines where these do not yet exist.
Effective implementation of the concept of judicial precedent in EU countries,2023/000005,"We would ask the European Commission to propose to the Member States (MS) that they
                
                 introduce a mechanism at national level which guarantees mutual recognition of final judicial decisions adopted by courts of other MS, and the option of invoking national judicial precedents decided by the courts of the country in question
                
                , provided that:
               

                a) the Court of Justice of the European Union (CJEU) has had occasion to interpret the applicable provisions of EU law;
               

                b) the case in question concerns similar or identical legal questions.
               

                This mechanism should be actually available to litigants, allowing them to request the recognition of another decision relevant to their case at any stage of the proceedings. Furthermore, a certain degree of flexibility should be ensured in light of the
                
                 rebus sic stantibus
                
                clause, making it possible to change the case-law if certain "
Taxing great wealth to finance the ecological and social transition.,2023/000006,"This initiative calls on the European Commission to establish a European tax on great wealth. This would contribute to the Union’s own resources, and the revenue would make it possible to amplify and perpetuate European ecological and social transition and development cooperation policies, cofunded by the Member States. The contribution would be used to combat climate change and inequality and would help to ensure that European citizens pay their fair share towards achieving these objectives."
"Preservation and development of Ukrainian culture, education, language, and traditions in EU states",2023/000007,"The aggression of Russia has resulted in over 5 million Ukrainians being forced to seek refuge on the territory of EU countries. The surveys among Ukrainian refugees indicate that approximately 40 percent plan to stay in EU countries rather than return to Ukraine. Despite efforts made by the EU institutions, there are still challenges ahead in successfully integrating Ukrainian citizens into the societies where they temporarily reside while preserving their culture, traditions, and language in EU countries.
               

                We believe it is essential for the EU to take additional actions in supporting Ukrainian refugees. The Commission could propose legislation based on Article 167 TFEU, focusing on national and regional diversity and cultural heritage.
               

                The initiative aims to bridge cultural gaps and empower Ukrainian cultural and linguistic heritage in the EU community, fostering a sense of belonging and promoting integration for Ukrainian refugees. We can work towards a more inclusive and harmonious Europe by recognizing and embracin"
EU Live Bus Stop Info,2023/000008,"By integrating QR codes at every bus stop, passengers can access real-time data about schedules, routes, delays, and updates;
                
                this initiative aims to revolutionize public transportation information accessibility across EU member states.
               

                This readily available information enhances travel experiences, reduces uncertainty, and aligns with the sustainable transportation goals of promoting public transit usage. The initiative contributes to greener cities by encouraging bus travel, reducing congestion and emissions. Aligned with EU Treaties like the digital single market, it integrates modern technology into public services, empowering passengers to make informed decisions. This transparency aligns with EU consumer protection principles, ensuring accurate and up-to-date information. QR codes offer a cost-effective alternative, leveraging users' smartphones and easing the financial burden on local authorities. By promoting public transit, reducing congestion, and empowering passengers, this initiative advances sustainable ur"
Trust and Freedom,2023/000009,"We call upon the European Commission to enact legislation that fosters freedom, transparency, accountability, and individual engagement within the EU. Aims to establish and strengthen checks and balances, ensuring that EU institutions are responsive to the needs and interests of the individuals while upholding our human rights as enshrined in the Charter of Fundamental Rights of the EU.
               


                 1: Upholding Human Dignity and the Recognition of Informed Consent
                


                We urge the European Commission to propose a recommendation as to propose the legal act for Members of State on the definition of informed consent, promoting the primacy of human dignity, freedom, and bodily autonomy within the European Union.
               





                 2: Enhancing Transparency and Empowering Citizens
                


                We request the EC to introduce a legal act that enhances transparency and access to information in EU decision-making processes."
'I'm Going European':  An ECI to Connect your National and European Citizenship,2023/000010,"This ECI demands a right for everyone, and not just the few, to have a basic knowledge about the EU and their European Citizenship from an early age. Being an active European citizen should be for everyone living in the EU. Only an inclusive approach will make European citizenship a real democratic citizenship. This is consistent with repeated resolutions of the European Parliament and recommendations from the Conference on the Future of Europe (CoFoE).
               

                We ask the Commission to:
               

                ●Propose through participatory democracy practice a European law, under Article 25 TFEU, for all Member States to introduce a right for every child to education in European Citizenship and the values of human rights, democracy and the rule of law;
               

                ●Give everyone who desires it a once-in-a-lifetime opportunity to put this knowledge to good use and explore what Europe has to offer;
               

                ●Back up this law by measures to:
               

                ○  introduce a European civic educ"
Creation of a European Environment Authority,2023/000011,"The objective of this initiative is that the European Commission set up a European Environment Authority, either as the successor to the European Environment Agency, exercising official powers, or as a new authority
                

                . The European Environment Authority would be an independent, central EU environment authority with legal personality, which, for the effective functioning of the internal market, alongside the Member States’ national environment authorities, would take administrative decisions that are binding on Member States and natural and legal persons, i.e. businesses having their registered office or ownership in either the EU or a third country, whenever the environmental impact of Member States’ agricultural, industrial or service activities – at any stage of those activities, including waste management and recycling – extends beyond national borders and occurs at EU level.
               

                The European Environment Authority would authorise and supervise activities that have an environmental impact and act in cases of environmenta"
Ban on conversion practices in the European Union,2024/000001,"We call on the European Commission to propose a binding legal ban on conversion practices targeting LGBTQ+ citizens in the European Union:
               

                Conversion Practices are interventions aimed at changing, repressing or suppressing the sexual orientation, gender identity and/or gender expression of LGBTQ+ persons.
               

                Such practices, due to their discriminatory, degrading, harmful and fraudulent nature have been qualified as torture by the United Nations, and are currently being banned in a growing number of States.
               

                The EU plays a key role in the protection of fundamental rights and should take actions to fight against all inhuman practices. The Commission should propose a directive adding conversion practices to the list of euro-crimes and/or amend the ongoing directive on equality (2008) to include a ban on these practices.
               

                Furthermore, to fight against the legislative moratorium, the Commission should also enforce a non-binding resolution calling for a widespread "
European Citizens' Initiative in Defence of Agriculture and Rural Economy in Europe,2024/000002,"1.Protect European Agriculture and Rural Economy with an integral regulatory framework
                


                A new, protective legislative framework is needed, revolving around the following axes: priority use of agricultural land for food production; guarantee of food sovereignty and security; addressing food chain issues and high prices; ensure access for farmers and rural communities to infrastructure and transport, financing, digitalization, work, entrepreneurship and education.
               


                 2.Improve water management to support food security and establish a European Hydrological Plan
                


                The lack of a functioning public water infrastructure to prevent pollution is an evil that affects the entire EU and that is why we need a European Hydrological Plan that guarantees the supply and distribution of water between all the territories of the Union.
               


                 3.Establish a European Agency for Agriculture and Rural Economy
                


                The EU needs a permanent European autho"
